project_code,sector,contractor,cost_original,cost_revised,duration_months,elapsed_months,planned_progress,actual_progress,payment_delay_days,subcontracting_depth,land_clearance_status,design_scope_change_count,billing_progress_mismatch_pct,is_cost_overrun,is_time_overrun,risk_score
NH-1001,Roads,Apex Bullet Infra Ltd.,912.5,960.4,30,7,21.2,16.1,18.3,0,Pending,0,3.0,0,0,43
NH-1002,Roads,Omkar Roadways Ltd.,1023.6,1057.0,24,11,39.7,34.3,29.6,0,Pending,1,2.5,0,0,41
NH-1003,Roads,Shivalik Infraprojects Ltd.,1007.8,1023.2,42,12,25.6,22.0,14.6,1,Clear,0,2.9,0,0,33
NH-1004,Roads,Shivalik Infraprojects Ltd.,990.8,1029.3,24,4,19.1,11.3,19.7,0,Disputed,0,3.5,0,0,50
NH-1005,Roads,Eastern Rail Infra Pvt. Ltd.,305.6,351.9,18,6,26.8,0.0,128.0,1,Disputed,2,1.0,1,1,95
RW-1006,Railways,Desert Sun Powergrid JV,1031.4,1087.3,24,17,72.9,54.7,103.9,1,Pending,1,3.2,0,1,79
BR-1007,Bridges,Patel Engineering,820.8,853.6,24,22,87.3,78.1,27.4,2,Pending,0,7.5,0,1,52
PW-1008,Power,Bharat Rail Consortium,621.4,650.9,24,16,64.2,60.2,18.8,0,Clear,1,10.8,0,0,41
NH-1009,Roads,Vindhya Powergrid Ltd.,468.1,484.7,60,21,39.4,38.0,17.5,0,Clear,1,-1.0,0,0,24
NH-1010,Roads,Tata Projects Ltd.,235.8,281.7,36,8,25.9,6.9,16.1,2,Pending,5,13.5,1,1,95
BR-1011,Bridges,Apex Bullet Infra Ltd.,596.7,637.8,36,29,82.3,70.5,12.4,2,Clear,1,10.2,0,1,65
BR-1012,Bridges,Bharat Rail Consortium,1022.3,1106.3,36,21,53.7,38.5,12.3,2,Disputed,1,2.4,1,1,76
PW-1013,Power,Vindhya Powergrid Ltd.,1039.6,1209.5,48,45,95.0,85.5,17.6,1,Clear,5,-1.0,1,1,63
RW-1014,Railways,Larsen & Toubro Infra,948.2,1035.9,24,15,71.4,50.8,96.1,2,Clear,0,14.1,1,1,93
BR-1015,Bridges,Shivalik Infraprojects Ltd.,733.6,809.4,48,44,90.9,69.3,83.9,0,Disputed,1,-0.0,1,1,87
NH-1016,Roads,Tata Projects Ltd.,979.1,1105.6,36,8,23.1,0.0,149.0,0,Pending,3,5.9,1,1,95
NH-1017,Roads,Eastern Rail Infra Pvt. Ltd.,353.5,354.7,18,3,13.9,4.1,65.4,0,Clear,0,-5.0,0,0,40
NH-1018,Roads,Patel Engineering,969.3,995.8,18,15,76.0,68.4,13.2,1,Pending,0,1.7,0,0,40
BR-1019,Bridges,Eastern Rail Infra Pvt. Ltd.,686.3,710.2,36,13,33.6,23.7,12.0,1,Pending,0,4.5,0,0,49
NH-1020,Roads,Apex Bullet Infra Ltd.,849.6,864.4,30,10,39.8,34.4,28.9,0,Clear,0,0.9,0,0,26
BR-1021,Bridges,Larsen & Toubro Infra,1700.1,1897.7,48,41,84.4,66.5,10.4,2,Pending,1,12.4,1,1,89
RW-1022,Railways,Desert Sun Powergrid JV,1393.9,1455.5,36,33,86.6,79.3,34.0,2,Clear,0,9.3,0,0,50
RW-1023,Railways,Bharat Rail Consortium,408.3,465.2,36,15,40.4,23.5,49.1,1,Disputed,1,12.6,1,1,95
NH-1024,Roads,Larsen & Toubro Infra,531.4,580.6,48,24,52.8,25.9,124.2,0,Disputed,1,-0.4,1,1,95
NH-1025,Roads,Omkar Roadways Ltd.,598.1,626.4,36,19,56.6,50.4,12.1,0,Pending,1,0.5,0,0,43
RW-1026,Railways,NCC Infrastructure,862.8,877.0,24,5,20.0,10.6,52.6,2,Pending,0,1.5,0,0,49
RW-1027,Railways,Dilip Buildcon Ltd.,451.9,509.1,30,11,37.8,21.7,24.3,1,Pending,3,8.8,1,1,78
BR-1028,Bridges,Omkar Roadways Ltd.,617.0,687.2,18,17,94.0,77.2,32.3,1,Disputed,0,7.1,1,1,85
